Year,Job Family,Total Salary
2016,Fire Services,224033.65
2015,Fire Services,171491.93
2015,Fire Services,47689.09
2014,Fire Services,184669.88
2013,Fire Services,142420.59
2016,Fire Services,126117.55
2015,Fire Services,94734.1
2014,Fire Services,23757.5
2016,Fire Services,216454.88
2015,Fire Services,187466.39
2014,Fire Services,234934.78
2013,Fire Services,230961.63
2016,Fire Services,144052.29
2015,Fire Services,153489.76
2014,Fire Services,152814.22
2016,Fire Services,14682.29
2016,Fire Services,91218.97
2015,Fire Services,26114.48
2016,Fire Services,124921.45
2015,Fire Services,135086.67
2014,Fire Services,131418.46
2013,Fire Services,145296.44
2016,Fire Services,155108.4
2015,Fire Services,147398.38
2014,Fire Services,125844.08
2013,Fire Services,135737.82
2013,Fire Services,179226.44
2016,Fire Services,125228.59
2015,Fire Services,105184.27
2014,Fire Services,83775.87
2013,Fire Services,35265.37
2016,Fire Services,151464.0
2015,Fire Services,148913.13
2014,Fire Services,143541.73
2013,Fire Services,130040.01
2016,Fire Services,139739.15
2015,Fire Services,133238.34
2014,Fire Services,133989.77
2013,Fire Services,142213.91
2016,Fire Services,134213.4
2015,Fire Services,127773.35
2014,Fire Services,129310.15
2013,Fire Services,143739.01
2016,Fire Services,201515.85
2015,Fire Services,191091.2
2014,Fire Services,194946.36
2013,Fire Services,191341.1
2016,Fire Services,174683.48
2016,Fire Services,77848.06
2016,Fire Services,13722.01
2016,Fire Services,163809.17
2015,Fire Services,155988.62
2014,Fire Services,101175.93
2013,Fire Services,63417.88
2013,Fire Services,27552.54
2015,Fire Services,63132.43
2014,Fire Services,135964.62
2015,Fire Services,168375.8
2014,Fire Services,169412.28
2013,Fire Services,183419.29
2016,Fire Services,144346.83
2015,Fire Services,147689.74
2014,Fire Services,44893.2
2013,Fire Services,181668.54
2016,Fire Services,151532.76
2015,Fire Services,136467.42
2014,Fire Services,143034.43
2013,Fire Services,139498.17
2016,Fire Services,10769.82
2016,Fire Services,67931.98
2015,Fire Services,129151.85
2014,Fire Services,135425.63
2016,Fire Services,15550.09
2015,Fire Services,2369.81
2016,Fire Services,9653.89
2013,Fire Services,145454.15
2016,Fire Services,166662.01
2015,Fire Services,140730.22
2014,Fire Services,185602.96
2013,Fire Services,177866.82
2016,Fire Services,137300.25
2015,Fire Services,150744.01
2014,Fire Services,149707.61
2013,Fire Services,149169.58
2016,Fire Services,136989.24
2015,Fire Services,127464.49
2014,Fire Services,141894.59
2013,Fire Services,145872.93
2016,Fire Services,114234.98
2015,Fire Services,95109.59
2014,Fire Services,32753.56
2016,Fire Services,54115.98
2016,Fire Services,3145.07
2013,Fire Services,67174.66
2016,Fire Services,167168.02
2015,Fire Services,50206.75
2015,Fire Services,76182.2
2014,Fire Services,77160.99
2016,Fire Services,5215.32
2015,Fire Services,2369.81
2014,Fire Services,88148.21
2013,Fire Services,286416.23
2016,Fire Services,147572.99
2015,Fire Services,141617.73
2014,Fire Services,154772.4
2013,Fire Services,138133.14
2016,Fire Services,209875.73
2015,Fire Services,208926.43
2014,Fire Services,205427.31
